,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2
1008,Azerbaijan,Asia,Movement restrictions,Border closure,"closed border between Russia and Azerbaijan to all traffic; allowances are made for citizens of Azerbaijan to cross the border to return home, and vice-versa",us embassy,2020-03-20,AZ
1009,Azerbaijan,Asia,Movement restrictions,Border closure,"closed border between Georgia and Azerbaijan to all traffic for 10 days; allowances are made for citizens of Azerbaijan to cross the border to return home, and vice-versa",us embassy,2020-03-20,AZ
1010,Azerbaijan,Asia,Movement restrictions,Border closure,"closed border between Iran and Azerbaijan to all traffic for 10 days; allowances are made for citizens of Azerbaijan to cross the border to return home, and vice-versa",us embassy,2020-03-20,AZ
1011,Azerbaijan,Asia,Movement restrictions,Border closure,"closed border between Turkey and Azerbaijan to all traffic for 10 days; allowances are made for citizens of Azerbaijan to cross the border to return home, and vice-versa",us embassy,2020-03-20,AZ
1012,Azerbaijan,Asia,Public health measures,health screenings in airports and border crossings,"border officials are screening all arriving travelers for symptoms. In case of any suspected exposure, the passenger ? regardless of national origin or purpose of travel ? will be evaluated and sent to specially designated facilities for quarantine, as appropriate.",us embassy,2020-03-20,AZ
1013,Azerbaijan,Asia,Social distancing,limit public gatherings,Mass events and celebrations of the Novruz Festival have been cancelled; recommend refraining from mass events an dpublic gathering areas unless necessary ,travel authority,2020-03-20,AZ
1014,Azerbaijan,Asia,Public health measures,awareness campaigns,Azerbaijan government has launched an information portal aimed to raise public awareness on prevention of the spread of Coronavirus infection and prophylaxis of the disease in the Country (https://koronavirusinfo.az/). ,azertag,2020-03-20,AZ
1015,Azerbaijan,Asia,Governance and socio-economic measures,economic measures,Azerbaijani President Ilham Aliyev has signed a Decree calling for the establishment of a Fund to Support Fight Against Coronavirus,azertag,2020-03-20,AZ
1016,Cameroon,Africa,Social distancing,Schools closure,All private and public  education facility,health ministry ? cameroon,2020-03-20,CM
1017,Cameroon,Africa,Social distancing,limit public gatherings,Gathering of more than 50 people are forbidden.,health ministry ? cameroon,2020-03-20,CM
1018,Cameroon,Africa,Social distancing,Public services closure,All public missions outside the country are cancelled.,health ministry ? cameroon,2020-03-20,CM
1019,Cameroon,Africa,Movement restrictions,curfews,Curfew on bars and restaurant from 6pm.,health ministry ? cameroon,2020-03-20,CM
1020,Cameroon,Africa,Movement restrictions,domestic travel restrictions,Reduction of public transports to the 'strict minimum',health ministry ? cameroon,2020-03-20,CM
1021,Cameroon,Africa,Social distancing,limit public gatherings,Reducing maximum capacity for public transports. ,health ministry ? cameroon,2020-03-20,CM
1022,Chile,Americas,Governance and socio-economic measures,military deployment,Chilean armed forces are present at ports of entry to ensure compliance with the restrictions.,us embassy,2020-03-20,CL
1023,Chile,Americas,Movement restrictions,Border closure,Borders closed for entry for a minimum of 14 days. Chilean citizens and permanent residents are exempted. Exit still permitted.,us embassy,2020-03-20,CL
1024,Chile,Americas,Movement restrictions,Border closure,Cruises not allowed to dock at Chilean ports.,us embassy,2020-03-20,CL
1025,Chile,Americas,Movement restrictions,additional health/documents requirements upon arrival,Any  international travelers admitted to Chile (on an exceptional basis) should submit a sworn declaration listing the countries they have visited in the past 30 days. Any travelers who have visited any ?affected country? within the past 30 days will be screened for signs of the virus.,health ministry ? chile,2020-03-20,CL
1026,Chile,Americas,Public health measures,introduction of isolation and quarantine policies,Quarantine of 14 days for Easter Island.  ,health ministry ? chile,2020-03-20,CL
1027,Colombia,Americas,Movement restrictions,international flights suspension,"All international air arrivals will be suspended for a period of 30 days, transit included. ",us embassy,2020-03-20,CO
1028,Colombia,Americas,Public health measures,introduction of isolation and quarantine policies,"Until 30th of may, every person aged above 70 should self-isolate. ",health ministry ? colombia,2020-03-20,CO
1029,Bahamas,Americas,Public health measures,general recommendations,MoH published hygiene recommednations for preventing spread of infection ,ministry of health,2020-03-20,BS
1030,Bahamas,Americas,Public health measures,strengthening the public health system,"MoH engaged in Novel Coronavirus sensitization meetings with public and private stakeholders to discuss the virus and the MoH's preparedness, and to ensure that all agencies have a coordinated and effective response plan",ministry of health,2020-03-20,BS
1031,Bahamas,Americas,Public health measures,introduction of isolation and quarantine policies,"residents returning to The Bahamas who have a history of travel to China within 20 days of commencing travel, quarantined on arrival in The Bahamas for up to fourteen (14) days.",ministry of health,2020-03-20,BS
1032,Bahamas,Americas,Public health measures,general recommendations,Ministry of Health advised that travel to high risk exposure areas for non-essential travel highly discouraged ,minsitry of health,2020-03-20,BS
1033,Bahamas,Americas,Governance and socio-economic measures,economic measures,Government?s COVID-19 plan will be contingencies to assist the poor and marginalized of the society,ministry of health,2020-03-20,BS
1034,Bahamas,Americas,Movement restrictions,Border closure,Braemar cruise ship carrying five persons who have tested positive for the COVID-19 coronavirus not permitted to dock in The Bahamas and passengers and crew not allowed to disembark,ministry of travel,2020-03-20,BS
1035,Bahamas,Americas,Social distancing,limit public gatherings,"Avoid large gatherings and comply with all hygienic protocols; High School Track and Field Championship scheduled to be held over 12th to 14th March, 2020, postponed","	ministry of youth, sports and culture",2020-03-20,BS
1036,Bahamas,Americas,Social distancing,Public services closure,majority of ministry of Foreign affairs working remotely. Overseas offices closed in London,ministry of foreign affairs,2020-03-20,BS
1037,Bahamas,Americas,Social distancing,Schools closure,"closure of all schools, both public and private, and educational institutions,",ministry of education,2020-03-20,BS
1038,Bahamas,Americas,Public health measures,awareness campaigns,establishment of COVID hotline numbers,ministry of health,2020-03-20,BS
1039,Bahamas,Americas,Movement restrictions,visa restrictions,expanded the list of restricted travel countries to include Europe and the UK as part of the national response to the COVID-19 coronavirus,office of prime minister,2020-03-20,BS
1040,Bahamas,Americas,Public health measures,strengthening the public health system,additional medical resources secured,office of prime minister,2020-03-20,BS
1041,Bahamas,Americas,Social distancing,limit public gatherings,"all national sporting events postponed until further notice, permits for use of public open spaces suspended indefinitely",offce of prime minister,2020-03-20,BS
1042,Bahamas,Americas,Movement restrictions,visa restrictions,"Travel restrictions for Europe, the United Kingdom and Ireland take effect on Thursday 19 March. This is in addition to restrictions already in place for China, Iran, Italy and South Korea.",office of prime minister,2020-03-20,BS
1043,Bahamas,Americas,Public health measures,introduction of isolation and quarantine policies,All Bahamian nationals and residents returning to The Bahamas through any point of entry from any of the restricted countries or an area where community infection and spread is present will be quarantined or be placed under self-isolation upon arrival and expected to follow the protocols of the Ministry of Health.,office of prime minister ,2020-03-20,BS
